Time,7sed_disp,voltmeter,silver_switch,cont dial,threestate,slight,rlight,glight
2020-05-24 00:14:41.009027,,[6.46405077],Off,[2.13158989],left,On,On,Off
2020-05-24 00:14:41.381929,,[6.83832312],Off,[2.25213899],left,On,On,Off
2020-05-24 00:14:41.798263,,[6.72160661],Off,[2.22540665],left,On,On,Off
2020-05-24 00:14:42.089220,,[6.39270318],Off,[2.16920323],left,On,On,Off
2020-05-24 00:14:42.451406,,[7.01936132],Off,[2.20013873],right,On,On,On
2020-05-24 00:14:42.808677,,[7.14615571],Off,[2.13885392],left,On,On,On
2020-05-24 00:14:43.157041,,[7.58711547],Off,[2.18830617],right,On,On,On
2020-05-24 00:14:43.538823,,[6.79686034],Off,[2.07971191],left,On,On,On
2020-05-24 00:14:43.936056,,[6.79686034],Off,[5.30821821],right,On,On,On
2020-05-24 00:14:44.243880,,[6.79686034],Off,[6.83833652],left,On,On,On
2020-05-24 00:14:44.594286,,[6.79686034],Off,[0.72981781],right,On,On,On
2020-05-24 00:14:44.942875,,[7.96510661],Off,[-8.63826413],right,On,On,On
2020-05-24 00:14:45.267811,,[7.96510661],Off,[6.57189729],right,On,On,On
2020-05-24 00:14:45.607424,,[7.96510661],Off,[-5.00357734],middle,On,On,On
2020-05-24 00:14:45.912819,,[7.5],Off,[2.15798929],right,On,On,On
2020-05-24 00:14:46.349830,,[7.61939219],Off,[2.20926942],right,On,Off,Off
2020-05-24 00:14:46.641180,,[7.5],Off,[2.09808879],right,Off,Off,Off
2020-05-24 00:14:46.980262,,[7.78227279],Off,[2.11977365],right,Off,Off,Off
2020-05-24 00:14:47.361932,,[8.22956467],Off,[2.09808879],right,Off,Off,Off
2020-05-24 00:14:47.766565,,[8.29815584],Off,[2.14933607],right,Off,Off,Off
2020-05-24 00:14:48.043291,,[7.5],Off,[2.1918443],right,Off,Off,Off
2020-05-24 00:14:48.385431,,[7.55008324],Off,[2.15798929],right,Off,Off,On
2020-05-24 00:14:48.748049,,[7.6407606],Off,[2.15798929],right,On,On,On
2020-05-24 00:14:49.136404,,[7.33547096],Off,[2.15555467],right,On,On,On
2020-05-24 00:14:49.495776,,[7.61689235],Off,[2.17606778],right,On,On,On
2020-05-24 00:14:49.876250,,[7.56566291],Off,[2.14933607],right,On,On,On
2020-05-24 00:14:50.211568,,[7.27939795],Off,[2.1676924],right,On,On,On
2020-05-24 00:14:50.592396,,[7.42908269],Off,[2.2073555],right,On,On,On
2020-05-24 00:14:51.013718,,[7.80781409],Off,[2.1666654],left,On,Off,Off
2020-05-24 00:14:51.350980,,[8.2817238],Off,[2.18778589],left,On,On,On
2020-05-24 00:14:51.777757,,[7.36653818],Off,[2.29385418],left,On,Off,Off
2020-05-24 00:14:52.167411,,[7.39045154],Off,[2.24407789],left,Off,Off,Off
2020-05-24 00:14:52.594235,,[7.5],Off,[2.20926942],left,On,On,On
2020-05-24 00:14:52.906685,,[7.5],Off,[2.31935671],right,On,On,On
